"","c.0.36179039948857..0.366065394812081..0.363900498241734..0.367061291542905..","c.0.20788305893076..0.212220909347389..0.210392564661978..0.209426078187937..","c.0.146624767208171..0.1484262790839..0.149444465726564..0.147956000983314..","c.0.115222853090365..0.114546003641593..0.126814746259448..0.116603987421321..","c.0.0935967818600776..0.0986921430276718..0.0911758995115977..","c.0.0782572645558122..0.0786236519721634..0.0795056416348548..","c.0.0758851223306291..0.0688849112873149..0.0725943976881021..","c.0.0627411348571768..0.060661911897599..0.0657903480355511..","c.0.0557689868817065..0.0575111662491449..0.0568891033996606.."
"1",0.36179039948857,0.20788305893076,0.146624767208171,0.115222853090365,0.0935967818600776,0.0782572645558122,0.0758851223306291,0.0627411348571768,0.0557689868817065
"2",0.366065394812081,0.212220909347389,0.1484262790839,0.114546003641593,0.0986921430276718,0.0786236519721634,0.0688849112873149,0.060661911897599,0.0575111662491449
"3",0.363900498241734,0.210392564661978,0.149444465726564,0.126814746259448,0.0911758995115977,0.0795056416348548,0.0725943976881021,0.0657903480355511,0.0568891033996606
"4",0.367061291542905,0.209426078187937,0.147956000983314,0.116603987421321,0.0938929893773545,0.0844086193735964,0.0686970720168802,0.062021049204765,0.056821453087978
"5",0.358712077892003,0.210543327302962,0.148580882337385,0.11752426731863,0.0931617705755568,0.0788775836677567,0.0677142324233586,0.0659158975832226,0.0596259701186365
"6",0.364026415409396,0.209240688012899,0.148508358064254,0.116438825387147,0.0929155451940074,0.0849692684708149,0.0717576797189831,0.0615321923390383,0.0582924689160765
"7",0.371265240606703,0.210781076747648,0.149367859756247,0.114736978026101,0.0923307092589118,0.0779488886836746,0.0716878264902912,0.0652931245730031,0.0574245010594335
"8",0.359977655964846,0.208523373998884,0.151524385799656,0.112663210860054,0.100747024538753,0.078196405858395,0.0681157195925205,0.0636825251667713,0.0583773775099851
"9",0.362487086723711,0.212985149901933,0.149382071617054,0.116666111818786,0.095634987000745,0.0794016895403188,0.0710056130106709,0.0649885509023625,0.0569407454333947
"10",0.356394960139793,0.20979446368364,0.149100737136584,0.114255106650507,0.0924756604577213,0.0774467833912775,0.0681864248566476,0.0603039225228733,0.0557573147834457
"11",0.365206234426068,0.20664256514395,0.148550382069567,0.1149904916856,0.0967996673735975,0.078029513226706,0.0688994114602304,0.0625710618525182,0.0539805590142396
"12",0.363371172522382,0.208530360494705,0.147665700671671,0.119316281383173,0.10203190665808,0.0788744035405544,0.0721442961470662,0.0629863742029172,0.0583984224716321
"13",0.359580522026703,0.209333166140389,0.149608097265938,0.12884344629306,0.092203159366508,0.0789693071073105,0.0727477900594564,0.0612470087937434,0.0590553737276556
"14",0.362632055734448,0.207987867613726,0.151726793056303,0.118178806340261,0.0910872024911081,0.0782477251845046,0.0686602698902732,0.0649900006896076,0.0547940535196222
"15",0.370053699401804,0.210104466493916,0.14843446115902,0.115724728644681,0.0969404911968819,0.0839902556215409,0.0733472586895199,0.0645745575262715,0.0597527786761748
"16",0.367208335917633,0.208408765678049,0.154356892252698,0.116488755043605,0.092723904143129,0.0828894560048859,0.0682151361562305,0.0625772343635036,0.0585851520882512
"17",0.363755198849843,0.210545384854575,0.147870432487878,0.115349200716862,0.0946084628987989,0.0794408596558209,0.0730632397839664,0.0599095329950636,0.0561045467963396
"18",0.361435973095512,0.20630960566403,0.153912755802622,0.116376654876635,0.0928699977756658,0.0795437827894536,0.0717324299172809,0.0637560297145456,0.0574940580052998
"19",0.369236258676649,0.209711888576922,0.151849931625776,0.112307209077745,0.0926005232382704,0.0828610349080808,0.072243341284039,0.0637538848687262,0.0569846692055752
"20",0.360513566857393,0.210468228697561,0.171586014887221,0.117832026792714,0.0920347588753537,0.0781628493777164,0.0728569309235263,0.0618635467922168,0.0592576586666342
"21",0.370345600404188,0.209806376184988,0.150236527662409,0.117340983742021,0.0940601657111585,0.0824799626044624,0.0695891568135036,0.0642067557678234,0.0581879493313979
"22",0.360714623272313,0.207557005804435,0.152194706215599,0.115230461780887,0.0923706424383014,0.0834264844225555,0.0744759525757846,0.0613218728873827,0.0562985739077945
"23",0.368318925867135,0.207580088017428,0.148983401478547,0.118701226263656,0.0944149230487542,0.0830798063766916,0.0763556162083241,0.0633805336841036,0.0590283720134233
"24",0.373383680585734,0.207032596288961,0.146339551597498,0.115910821646771,0.0916445013403955,0.0790884484007263,0.0729044343272321,0.0601837679209916,0.057346037589948
"25",0.382356753901661,0.210302681953245,0.147252417658831,0.115430613416095,0.0934299513933995,0.0782068122916531,0.0711720124543471,0.0625634961242482,0.0594810450674528
"26",0.367404979603906,0.210242768351404,0.147392246451614,0.116901909940265,0.0945270582512465,0.0780894741767177,0.0686838006958058,0.0638788487327752,0.0586097862434504
"27",0.364134877802282,0.209705389286605,0.147175254023919,0.11602427877042,0.0956806221604936,0.0848512472123061,0.0684910842068619,0.0599686952701177,0.0548874786253527
"28",0.366154864778786,0.209371082596887,0.171396557255934,0.119002716902799,0.0977995254109438,0.0801901182077782,0.0686734226801929,0.0662727991317692,0.0592655068662828
"29",0.360273452884354,0.208099536745462,0.146804767915301,0.115879887320265,0.0912612069277834,0.0787518138838178,0.0685075791874961,0.0613055851696521,0.0553458234904885
