"","c.0.359951054429736..0.36054355297384..0.368855733205043..0.370278723580822..","c.0.205934623485088..0.211763172155422..0.207327486425426..0.209179128697466..","c.0.148243780807702..0.150430299611603..0.147205698156164..0.149835366283072..","c.0.115479286418185..0.115398506490864..0.115617648403352..0.113974926975662..","c.0.0918782367831144..0.10223933529233..0.0917531598573678..0.0938337131193403..","c.0.0846735694724947..0.0848539914867373..0.0781820211704451..","c.0.0727221546862233..0.0696902402839073..0.0680838066818841..","c.0.0615767016275289..0.0633939101152332..0.0636981176739133..","c.0.0544026893435741..0.0560572163062588..0.056754448332138.."
"1",0.359951054429736,0.205934623485088,0.148243780807702,0.115479286418185,0.0918782367831144,0.0846735694724947,0.0727221546862233,0.0615767016275289,0.0544026893435741
"2",0.36054355297384,0.211763172155422,0.150430299611603,0.115398506490864,0.10223933529233,0.0848539914867373,0.0696902402839073,0.0633939101152332,0.0560572163062588
"3",0.368855733205043,0.207327486425426,0.147205698156164,0.115617648403352,0.0917531598573678,0.0781820211704451,0.0680838066818841,0.0636981176739133,0.056754448332138
"4",0.370278723580822,0.209179128697466,0.149835366283072,0.113974926975662,0.0938337131193403,0.0859216121279349,0.0719122031729176,0.0605078233151051,0.0563398025530021
"5",0.369632961815996,0.207907062270955,0.150353963543875,0.116978064461462,0.0954325596094374,0.0791515802270435,0.070652996249764,0.0632607973260255,0.0561984732328693
"6",0.361564929197066,0.206976537535212,0.171080419042915,0.114949845199114,0.091755575144128,0.0777842283275239,0.0683435285583233,0.0644992431190126,0.0542633760577016
"7",0.365433516496127,0.210283000733151,0.154362178854012,0.113411394220587,0.0948409170179779,0.0783306900952406,0.0680107413346558,0.0599616653119331,0.0559417904318104
"8",0.366615345147718,0.209943354556546,0.149746977700344,0.116360880541147,0.0936834030328589,0.0783395729721564,0.0676356238331582,0.0646150250856271,0.0546023253486514
"9",0.367119548389212,0.209801086240519,0.147932706256924,0.112703632208392,0.0942626537261614,0.0785245075717206,0.0688969490191625,0.06158451971013,0.0583155477821353
"10",0.362511189755799,0.206828734752274,0.149350551281673,0.116322749043271,0.100349945913838,0.0785423802266711,0.0687451727649066,0.0604896566693033,0.0593022715241422
